"CUSTOMER_RK";"report_dttm";"AVG_SAL_AMT_ALL_1Y";"AVG_SAL_AMT_ADD_1Y";"AVG_SAL_AMT_MAIN_1Y";"AVG_SAL_AMT_ALL_6M";"AVG_SAL_AMT_ADD_6M";"AVG_SAL_AMT_MAIN_6M";"AVG_SAL_AMT_ALL_3M";"AVG_SAL_AMT_ADD_3M";"AVG_SAL_AMT_MAIN_3M";"AVG_SAL_AMT_ALL_2M";"AVG_SAL_AMT_ADD_2M";"AVG_SAL_AMT_MAIN_2M";"AVG_SAL_AMT_ALL_1M";"AVG_SAL_AMT_ADD_1M";"AVG_SAL_AMT_MAIN_1M";"SUM_SAL_AMT_ALL_1Y";"SUM_SAL_AMT_ADD_1Y";"SUM_SAL_AMT_MAIN_1Y";"SUM_SAL_AMT_ALL_6M";"SUM_SAL_AMT_ADD_6M";"SUM_SAL_AMT_MAIN_6M";"SUM_SAL_AMT_ALL_3M";"SUM_SAL_AMT_ADD_3M";"SUM_SAL_AMT_MAIN_3M";"SUM_SAL_AMT_ALL_2M";"SUM_SAL_AMT_ADD_2M";"SUM_SAL_AMT_MAIN_2M";"SUM_SAL_AMT_ALL_1M";"SUM_SAL_AMT_ADD_1M";"SUM_SAL_AMT_MAIN_1M";"MAX_SAL_AMT_ALL_1Y";"MAX_SAL_AMT_ADD_1Y";"MAX_SAL_AMT_MAIN_1Y";"MAX_SAL_AMT_ALL_6M";"MAX_SAL_AMT_ADD_6M";"MAX_SAL_AMT_MAIN_6M";"MAX_SAL_AMT_ALL_3M";"MAX_SAL_AMT_ADD_3M";"MAX_SAL_AMT_MAIN_3M";"MAX_SAL_AMT_ALL_2M";"MAX_SAL_AMT_ADD_2M";"MAX_SAL_AMT_MAIN_2M";"MAX_SAL_AMT_ALL_1M";"MAX_SAL_AMT_ADD_1M";"MAX_SAL_AMT_MAIN_1M"
687;2022-03-23 18:49:42.098 +0300;213134.500000000000;213134.500000000000;;213134.500000000000;213134.500000000000;;213134.500000000000;213134.500000000000;;213134.500000000000;213134.500000000000;;213134.500000000000;213134.500000000000;;426269.00000;426269.00000;;426269.00000;426269.00000;;426269.00000;426269.00000;;426269.00000;426269.00000;;426269.00000;426269.00000;;254892.00000;254892.00000;;254892.00000;254892.00000;;254892.00000;254892.00000;;254892.00000;254892.00000;;254892.00000;254892.00000;
688;2022-03-23 18:49:42.098 +0300;186021.750000000000;275940.000000000000;156049.000000000000;186021.750000000000;275940.000000000000;156049.000000000000;186021.750000000000;275940.000000000000;156049.000000000000;186021.750000000000;275940.000000000000;156049.000000000000;233296.000000000000;275940.000000000000;211974.000000000000;744087.00000;275940.00000;468147.00000;744087.00000;275940.00000;468147.00000;744087.00000;275940.00000;468147.00000;744087.00000;275940.00000;468147.00000;699888.00000;275940.00000;423948.00000;278876.00000;275940.00000;278876.00000;278876.00000;275940.00000;278876.00000;278876.00000;275940.00000;278876.00000;278876.00000;275940.00000;278876.00000;278876.00000;275940.00000;278876.00000
689;2022-03-23 18:49:42.098 +0300;209603.333333333333;265732.000000000000;181539.000000000000;209603.333333333333;265732.000000000000;181539.000000000000;209603.333333333333;265732.000000000000;181539.000000000000;209603.333333333333;265732.000000000000;181539.000000000000;278935.000000000000;265732.000000000000;292138.000000000000;628810.00000;265732.00000;363078.00000;628810.00000;265732.00000;363078.00000;628810.00000;265732.00000;363078.00000;628810.00000;265732.00000;363078.00000;557870.00000;265732.00000;292138.00000;292138.00000;265732.00000;292138.00000;292138.00000;265732.00000;292138.00000;292138.00000;265732.00000;292138.00000;292138.00000;265732.00000;292138.00000;292138.00000;265732.00000;292138.00000
690;2022-03-23 18:49:42.098 +0300;176694.333333333333;229008.000000000000;72067.000000000000;162780.000000000000;253493.000000000000;72067.000000000000;162780.000000000000;253493.000000000000;72067.000000000000;162780.000000000000;253493.000000000000;72067.000000000000;162780.000000000000;253493.000000000000;72067.000000000000;530083.00000;458016.00000;72067.00000;325560.00000;253493.00000;72067.00000;325560.00000;253493.00000;72067.00000;325560.00000;253493.00000;72067.00000;325560.00000;253493.00000;72067.00000;253493.00000;253493.00000;72067.00000;253493.00000;253493.00000;72067.00000;253493.00000;253493.00000;72067.00000;253493.00000;253493.00000;72067.00000;253493.00000;253493.00000;72067.00000
691;2022-03-23 18:49:42.098 +0300;165963.333333333333;188580.000000000000;120730.000000000000;188580.000000000000;188580.000000000000;;186468.000000000000;186468.000000000000;;186468.000000000000;186468.000000000000;;186468.000000000000;186468.000000000000;;497890.00000;377160.00000;120730.00000;377160.00000;377160.00000;;186468.00000;186468.00000;;186468.00000;186468.00000;;186468.00000;186468.00000;;190692.00000;190692.00000;120730.00000;190692.00000;190692.00000;;186468.00000;186468.00000;;186468.00000;186468.00000;;186468.00000;186468.00000;
692;2022-03-23 18:49:42.098 +0300;151044.571428571429;163194.750000000000;134844.333333333333;182634.000000000000;186366.666666666667;177035.000000000000;188844.250000000000;200653.500000000000;177035.000000000000;188844.250000000000;200653.500000000000;177035.000000000000;184769.333333333333;200653.500000000000;153001.000000000000;1057312.00000;652779.00000;404533.00000;913170.00000;559100.00000;354070.00000;755377.00000;401307.00000;354070.00000;755377.00000;401307.00000;354070.00000;554308.00000;401307.00000;153001.00000;237602.00000;237602.00000;201069.00000;237602.00000;237602.00000;201069.00000;237602.00000;237602.00000;201069.00000;237602.00000;237602.00000;201069.00000;237602.00000;237602.00000;153001.00000
693;2022-03-23 18:49:42.098 +0300;238619.750000000000;147915.000000000000;268854.666666666667;238619.750000000000;147915.000000000000;268854.666666666667;225178.333333333333;147915.000000000000;263810.000000000000;225178.333333333333;147915.000000000000;263810.000000000000;196105.000000000000;147915.000000000000;244295.000000000000;954479.00000;147915.00000;806564.00000;954479.00000;147915.00000;806564.00000;675535.00000;147915.00000;527620.00000;675535.00000;147915.00000;527620.00000;392210.00000;147915.00000;244295.00000;283325.00000;147915.00000;283325.00000;283325.00000;147915.00000;283325.00000;283325.00000;147915.00000;283325.00000;283325.00000;147915.00000;283325.00000;244295.00000;147915.00000;244295.00000
694;2022-03-23 18:49:42.098 +0300;196230.400000000000;238282.000000000000;168196.000000000000;203108.500000000000;238282.000000000000;167935.000000000000;175306.333333333333;190049.000000000000;167935.000000000000;175306.333333333333;190049.000000000000;167935.000000000000;134508.000000000000;190049.000000000000;78967.000000000000;981152.00000;476564.00000;504588.00000;812434.00000;476564.00000;335870.00000;525919.00000;190049.00000;335870.00000;525919.00000;190049.00000;335870.00000;269016.00000;190049.00000;78967.00000;286515.00000;286515.00000;256903.00000;286515.00000;286515.00000;256903.00000;256903.00000;190049.00000;256903.00000;256903.00000;190049.00000;256903.00000;190049.00000;190049.00000;78967.00000
695;2022-03-23 18:49:42.098 +0300;223901.000000000000;;223901.000000000000;223901.000000000000;;223901.000000000000;223901.000000000000;;223901.000000000000;223901.000000000000;;223901.000000000000;223901.000000000000;;223901.000000000000;223901.00000;;223901.00000;223901.00000;;223901.00000;223901.00000;;223901.00000;223901.00000;;223901.00000;223901.00000;;223901.00000;223901.00000;;223901.00000;223901.00000;;223901.00000;223901.00000;;223901.00000;223901.00000;;223901.00000;223901.00000;;223901.00000
696;2022-03-23 18:49:42.098 +0300;89712.000000000000;;89712.000000000000;110302.000000000000;;110302.000000000000;110302.000000000000;;110302.000000000000;110302.000000000000;;110302.000000000000;;;;179424.00000;;179424.00000;110302.00000;;110302.00000;110302.00000;;110302.00000;110302.00000;;110302.00000;;;;110302.00000;;110302.00000;110302.00000;;110302.00000;110302.00000;;110302.00000;110302.00000;;110302.00000;;;
