"CUSTOMER_RK";"report_dttm";"MIN_TRN_AMT_USD_NRTL_4W";"MIN_TRN_AMT_RUB_NRTL_4W";"MIN_TRN_AMT_USD_CASH_4W";"MIN_TRN_AMT_RUB_CASH_4W";"MIN_TRN_AMT_USD_TRVL_4W";"MIN_TRN_AMT_RUB_TRVL_4W";"MIN_TRN_AMT_USD_MED_4W";"MIN_TRN_AMT_RUB_MED_4W";"MIN_TRN_AMT_USD_RTL_4W";"MIN_TRN_AMT_RUB_RTL_4W";"MIN_TRN_AMT_USD_NRTL_3W";"MIN_TRN_AMT_RUB_NRTL_3W";"MIN_TRN_AMT_USD_CASH_3W";"MIN_TRN_AMT_RUB_CASH_3W";"MIN_TRN_AMT_USD_TRVL_3W";"MIN_TRN_AMT_RUB_TRVL_3W";"MIN_TRN_AMT_USD_MED_3W";"MIN_TRN_AMT_RUB_MED_3W";"MIN_TRN_AMT_USD_RTL_3W";"MIN_TRN_AMT_RUB_RTL_3W";"MIN_TRN_AMT_USD_NRTL_2W";"MIN_TRN_AMT_RUB_NRTL_2W";"MIN_TRN_AMT_USD_CASH_2W";"MIN_TRN_AMT_RUB_CASH_2W";"MIN_TRN_AMT_USD_TRVL_2W";"MIN_TRN_AMT_RUB_TRVL_2W";"MIN_TRN_AMT_USD_MED_2W";"MIN_TRN_AMT_RUB_MED_2W";"MIN_TRN_AMT_USD_RTL_2W";"MIN_TRN_AMT_RUB_RTL_2W";"MIN_TRN_AMT_USD_NRTL_1W";"MIN_TRN_AMT_RUB_NRTL_1W";"MIN_TRN_AMT_USD_CASH_1W";"MIN_TRN_AMT_RUB_CASH_1W";"MIN_TRN_AMT_USD_TRVL_1W";"MIN_TRN_AMT_RUB_TRVL_1W";"MIN_TRN_AMT_USD_MED_1W";"MIN_TRN_AMT_RUB_MED_1W";"MIN_TRN_AMT_USD_RTL_1W";"MIN_TRN_AMT_RUB_RTL_1W";"MAX_TRN_AMT_USD_NRTL_4W";"MAX_TRN_AMT_RUB_NRTL_4W";"MAX_TRN_AMT_USD_CASH_4W";"MAX_TRN_AMT_RUB_CASH_4W";"MAX_TRN_AMT_USD_TRVL_4W";"MAX_TRN_AMT_RUB_TRVL_4W";"MAX_TRN_AMT_USD_MED_4W";"MAX_TRN_AMT_RUB_MED_4W";"MAX_TRN_AMT_USD_RTL_4W";"MAX_TRN_AMT_RUB_RTL_4W";"MAX_TRN_AMT_USD_NRTL_3W";"MAX_TRN_AMT_RUB_NRTL_3W";"MAX_TRN_AMT_USD_CASH_3W";"MAX_TRN_AMT_RUB_CASH_3W";"MAX_TRN_AMT_USD_TRVL_3W";"MAX_TRN_AMT_RUB_TRVL_3W";"MAX_TRN_AMT_USD_MED_3W";"MAX_TRN_AMT_RUB_MED_3W";"MAX_TRN_AMT_USD_RTL_3W";"MAX_TRN_AMT_RUB_RTL_3W";"MAX_TRN_AMT_USD_NRTL_2W";"MAX_TRN_AMT_RUB_NRTL_2W";"MAX_TRN_AMT_USD_CASH_2W";"MAX_TRN_AMT_RUB_CASH_2W";"MAX_TRN_AMT_USD_TRVL_2W";"MAX_TRN_AMT_RUB_TRVL_2W";"MAX_TRN_AMT_USD_MED_2W";"MAX_TRN_AMT_RUB_MED_2W";"MAX_TRN_AMT_USD_RTL_2W";"MAX_TRN_AMT_RUB_RTL_2W";"MAX_TRN_AMT_USD_NRTL_1W";"MAX_TRN_AMT_RUB_NRTL_1W";"MAX_TRN_AMT_USD_CASH_1W";"MAX_TRN_AMT_RUB_CASH_1W";"MAX_TRN_AMT_USD_TRVL_1W";"MAX_TRN_AMT_RUB_TRVL_1W";"MAX_TRN_AMT_USD_MED_1W";"MAX_TRN_AMT_RUB_MED_1W";"MAX_TRN_AMT_USD_RTL_1W";"MAX_TRN_AMT_RUB_RTL_1W";"SUM_TRN_AMT_USD_NRTL_4W";"SUM_TRN_AMT_RUB_NRTL_4W";"SUM_TRN_AMT_USD_CASH_4W";"SUM_TRN_AMT_RUB_CASH_4W";"SUM_TRN_AMT_USD_TRVL_4W";"SUM_TRN_AMT_RUB_TRVL_4W";"SUM_TRN_AMT_USD_MED_4W";"SUM_TRN_AMT_RUB_MED_4W";"SUM_TRN_AMT_USD_RTL_4W";"SUM_TRN_AMT_RUB_RTL_4W";"SUM_TRN_AMT_USD_NRTL_3W";"SUM_TRN_AMT_RUB_NRTL_3W";"SUM_TRN_AMT_USD_CASH_3W";"SUM_TRN_AMT_RUB_CASH_3W";"SUM_TRN_AMT_USD_TRVL_3W";"SUM_TRN_AMT_RUB_TRVL_3W";"SUM_TRN_AMT_USD_MED_3W";"SUM_TRN_AMT_RUB_MED_3W";"SUM_TRN_AMT_USD_RTL_3W";"SUM_TRN_AMT_RUB_RTL_3W";"SUM_TRN_AMT_USD_NRTL_2W";"SUM_TRN_AMT_RUB_NRTL_2W";"SUM_TRN_AMT_USD_CASH_2W";"SUM_TRN_AMT_RUB_CASH_2W";"SUM_TRN_AMT_USD_TRVL_2W";"SUM_TRN_AMT_RUB_TRVL_2W";"SUM_TRN_AMT_USD_MED_2W";"SUM_TRN_AMT_RUB_MED_2W";"SUM_TRN_AMT_USD_RTL_2W";"SUM_TRN_AMT_RUB_RTL_2W";"SUM_TRN_AMT_USD_NRTL_1W";"SUM_TRN_AMT_RUB_NRTL_1W";"SUM_TRN_AMT_USD_CASH_1W";"SUM_TRN_AMT_RUB_CASH_1W";"SUM_TRN_AMT_USD_TRVL_1W";"SUM_TRN_AMT_RUB_TRVL_1W";"SUM_TRN_AMT_USD_MED_1W";"SUM_TRN_AMT_RUB_MED_1W";"SUM_TRN_AMT_USD_RTL_1W";"SUM_TRN_AMT_RUB_RTL_1W"
687;2022-03-23 18:51:06.677 +0300;5898.00000;528.00000;5898.00000;528.00000;;;;;;;5898.00000;528.00000;5898.00000;528.00000;;;;;;;5898.00000;528.00000;5898.00000;528.00000;;;;;;;5898.00000;528.00000;5898.00000;528.00000;;;;;;;5898.00000;4688.00000;5898.00000;528.00000;;;;;;;5898.00000;4688.00000;5898.00000;528.00000;;;;;;;5898.00000;4688.00000;5898.00000;528.00000;;;;;;;5898.00000;4688.00000;5898.00000;528.00000;;;;;;;5898.00000;5216.00000;5898.00000;528.00000;;;;;;;5898.00000;5216.00000;5898.00000;528.00000;;;;;;;5898.00000;5216.00000;5898.00000;528.00000;;;;;;;5898.00000;5216.00000;5898.00000;528.00000;;;;;;
688;2022-03-23 18:51:06.677 +0300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
689;2022-03-23 18:51:06.677 +0300;970.00000;;2378.00000;;;;;;;;970.00000;;2378.00000;;;;;;;;970.00000;;2378.00000;;;;;;;;970.00000;;2378.00000;;;;;;;;13331.00000;;2378.00000;;;;;;;;13331.00000;;2378.00000;;;;;;;;13331.00000;;2378.00000;;;;;;;;13331.00000;;2378.00000;;;;;;;;21759.00000;;2378.00000;;;;;;;;21759.00000;;2378.00000;;;;;;;;21759.00000;;2378.00000;;;;;;;;21759.00000;;2378.00000;;;;;;;
690;2022-03-23 18:51:06.677 +0300;516.00000;4435.00000;;4435.00000;;9258.00000;;;;10864.00000;516.00000;4435.00000;;4435.00000;;9258.00000;;;;10864.00000;516.00000;4435.00000;;4435.00000;;9258.00000;;;;10864.00000;516.00000;4435.00000;;4435.00000;;9258.00000;;;;10864.00000;516.00000;9258.00000;;4836.00000;;9258.00000;;;;10864.00000;516.00000;9258.00000;;4836.00000;;9258.00000;;;;10864.00000;516.00000;9258.00000;;4836.00000;;9258.00000;;;;10864.00000;516.00000;9258.00000;;4836.00000;;9258.00000;;;;10864.00000;516.00000;18529.00000;;9271.00000;;9258.00000;;;;10864.00000;516.00000;18529.00000;;9271.00000;;9258.00000;;;;10864.00000;516.00000;18529.00000;;9271.00000;;9258.00000;;;;10864.00000;516.00000;18529.00000;;9271.00000;;9258.00000;;;;10864.00000
691;2022-03-23 18:51:06.677 +0300;;1250.00000;;;;1250.00000;;;3817.00000;6711.00000;;1250.00000;;;;1250.00000;;;3817.00000;6711.00000;;1250.00000;;;;1250.00000;;;3817.00000;6711.00000;;1250.00000;;;;1250.00000;;;3817.00000;6711.00000;;3464.00000;;;;1250.00000;;;3817.00000;6711.00000;;3464.00000;;;;1250.00000;;;3817.00000;6711.00000;;3464.00000;;;;1250.00000;;;3817.00000;6711.00000;;3464.00000;;;;1250.00000;;;3817.00000;6711.00000;;4714.00000;;;;1250.00000;;;3817.00000;6711.00000;;4714.00000;;;;1250.00000;;;3817.00000;6711.00000;;4714.00000;;;;1250.00000;;;3817.00000;6711.00000;;4714.00000;;;;1250.00000;;;3817.00000;6711.00000
692;2022-03-23 18:51:06.677 +0300;3501.00000;3259.00000;;10666.00000;11588.00000;5150.00000;;;;;3501.00000;3259.00000;;10666.00000;11588.00000;5150.00000;;;;;3501.00000;3259.00000;;10666.00000;11588.00000;5150.00000;;;;;3501.00000;3259.00000;;10666.00000;11588.00000;5150.00000;;;;;11588.00000;10666.00000;;10666.00000;11588.00000;5150.00000;;;;;11588.00000;10666.00000;;10666.00000;11588.00000;5150.00000;;;;;11588.00000;10666.00000;;10666.00000;11588.00000;5150.00000;;;;;11588.00000;10666.00000;;10666.00000;11588.00000;5150.00000;;;;;15089.00000;19075.00000;;10666.00000;11588.00000;5150.00000;;;;;15089.00000;19075.00000;;10666.00000;11588.00000;5150.00000;;;;;15089.00000;19075.00000;;10666.00000;11588.00000;5150.00000;;;;;15089.00000;19075.00000;;10666.00000;11588.00000;5150.00000;;;;
693;2022-03-23 18:51:06.677 +0300;1505.00000;;;;;;;;;13953.00000;1505.00000;;;;;;;;;13953.00000;1505.00000;;;;;;;;;13953.00000;1505.00000;;;;;;;;;13953.00000;1505.00000;;;;;;;;;13953.00000;1505.00000;;;;;;;;;13953.00000;1505.00000;;;;;;;;;13953.00000;1505.00000;;;;;;;;;13953.00000;1505.00000;;;;;;;;;13953.00000;1505.00000;;;;;;;;;13953.00000;1505.00000;;;;;;;;;13953.00000;1505.00000;;;;;;;;;13953.00000
694;2022-03-23 18:51:06.677 +0300;;7250.00000;;;;7250.00000;;;;13022.00000;;7250.00000;;;;7250.00000;;;;13022.00000;;7250.00000;;;;7250.00000;;;;13022.00000;;7250.00000;;;;7250.00000;;;;13022.00000;;7250.00000;;;;7250.00000;;;;13022.00000;;7250.00000;;;;7250.00000;;;;13022.00000;;7250.00000;;;;7250.00000;;;;13022.00000;;7250.00000;;;;7250.00000;;;;13022.00000;;7250.00000;;;;7250.00000;;;;13022.00000;;7250.00000;;;;7250.00000;;;;13022.00000;;7250.00000;;;;7250.00000;;;;13022.00000;;7250.00000;;;;7250.00000;;;;13022.00000
695;2022-03-23 18:51:06.677 +0300;;9418.00000;;;;9418.00000;;;;;;9418.00000;;;;9418.00000;;;;;;9418.00000;;;;9418.00000;;;;;;9418.00000;;;;9418.00000;;;;;;9418.00000;;;;9418.00000;;;;;;9418.00000;;;;9418.00000;;;;;;9418.00000;;;;9418.00000;;;;;;9418.00000;;;;9418.00000;;;;;;9418.00000;;;;9418.00000;;;;;;9418.00000;;;;9418.00000;;;;;;9418.00000;;;;9418.00000;;;;;;9418.00000;;;;9418.00000;;;;
696;2022-03-23 18:51:06.677 +0300;2017.00000;7531.00000;;;;12516.00000;;;;4193.00000;2017.00000;7531.00000;;;;12516.00000;;;;4193.00000;2017.00000;7531.00000;;;;12516.00000;;;;4193.00000;2017.00000;7531.00000;;;;12516.00000;;;;4193.00000;12217.00000;12516.00000;;;;12516.00000;;;;4193.00000;12217.00000;12516.00000;;;;12516.00000;;;;4193.00000;12217.00000;12516.00000;;;;12516.00000;;;;4193.00000;12217.00000;12516.00000;;;;12516.00000;;;;4193.00000;14234.00000;28584.00000;;;;12516.00000;;;;4193.00000;14234.00000;28584.00000;;;;12516.00000;;;;4193.00000;14234.00000;28584.00000;;;;12516.00000;;;;4193.00000;14234.00000;28584.00000;;;;12516.00000;;;;4193.00000
